award_group,award_family,award_type_code,award_type_label,n_transactions,n_awards,obligation_positive,obligation_negative,obligation_net,subaward_out,net_revenue
assistance,direct_payment,06,Direct Payment for Specified Use,16746,607,2837268657.85,-95065433.9,2742203223.95,93041530.44,2649161693.51
assistance,grant,02,Block Grant,188,130,48066619,-1217787.14,46848831.86,2634310.4,44214521.46
assistance,grant,03,Formula Grant,740,307,842386858.01,-16297738.61,826089119.4,162367,825926752.4
assistance,grant,04,Project Grant,165271,40771,42302256630.85,-1135341991.34,41166914639.51,4193972639.48,36972942000.03
assistance,grant,05,Cooperative Agreement,29866,4408,17819990356.69,-582665849.97,17237324506.72,5159025046.19,12078299460.53
assistance,loan,07,Direct Loan,5998,176,0,0,0,0,0
assistance,other,11,Other Financial Assistance,727,507,319200709,-11144185.39,308056523.61,4272838.31,303783685.3
contract,contract,A,BPA Call,1116,307,411239362.09,-21529022.7,389710339.39,67552528.89,322157810.5
contract,contract,B,Purchase Order,4865,2697,190427176.14,-12582707.07,177844469.07,3551522.1,174292946.97
contract,contract,C,Delivery Order,34934,7772,25006229869.76,-1197508246.13,23808721623.63,2184505192.33,21624216431.3
contract,contract,D,Definitive Contract,9907,1155,32335959656.45,-769736264.86,31566223391.59,907034779.97,30659188611.62
contract,idv,IDV_A,GWAC,8,1,2500,-2500,0,0,0
contract,idv,IDV_B,IDC,2879,503,275216581.33,-22536792.23,252679789.1,24916121.16,227763667.94
contract,idv,IDV_C,FSS,407,12,0,0,0,0,0
contract,idv,IDV_D,BOA,105,42,41684,0,41684,0,41684
contract,idv,IDV_E,BPA,257,69,80445.02,-15547.7,64897.32,0,64897.32
